Word , Coverage
His , 0.04300006520501691 %
action , 0.04300006520501691 %
here.
 , 0.042735720541871317 %
Pakistan , 0.042471375878725716 %
- , 0.042471375878725716 %
must , 0.04220703121558012 %
day , 0.04220703121558012 %
court , 0.04203080144014972 %
got , 0.04167834188928893 %
too.
 , 0.041502112113858534 %
place , 0.041325882338428134 %
filed , 0.041237767450712934 %
No , 0.04097342278756735 %
help , 0.04097342278756735 %
hospital , 0.04088530789985214 %
died , 0.04088530789985214 %
district , 0.040532848348991346 %
different , 0.040532848348991346 %
important , 0.040532848348991346 %
great , 0.04026850368584575 %
killed , 0.04009227391041535 %
four , 0.04000415902270016 %
Bollywood , 0.03991604413498496 %
president , 0.03991604413498496 %
still , 0.03991604413498496 %
country , 0.039563584584124165 %
video , 0.039563584584124165 %
second , 0.039299239920978564 %
each , 0.03921112503326337 %
well , 0.03921112503326337 %
Kapoor , 0.03903489525783298 %
People , 0.03885866548240258 %
won , 0.03877055059468738 %
students , 0.03877055059468738 %
currently , 0.038506205931541776 %
before , 0.03841809104382658 %
members , 0.03815374638068099 %
always , 0.037801286829820195 %
country.
 , 0.0374488272789594 %
among , 0.0371844826158138 %
Shah , 0.03683202306495301 %
accused.
 , 0.03683202306495301 %
informed , 0.036743908177237807 %
already , 0.03630333373866182 %
Im , 0.03630333373866182 %
Union , 0.03621521885094662 %
situation , 0.03621521885094662 %
me.
 , 0.03612710396323142 %
"I , 0.03612710396323142 %
available , 0.03603898907551622 %
investigation , 0.035774644412370625 %
done , 0.035686529524655425 %
health , 0.035598414636940225 %
too , 0.03551029974922503 %
well.
 , 0.03542218486150983 %
hospital.
 , 0.03533406997379463 %
go , 0.03515784019836424 %
why , 0.03515784019836424 %
shared , 0.03506972531064904 %
spot.
 , 0.03498161042293384 %
leaders , 0.03454103598435784 %
security , 0.03436480620892745 %
police.
 , 0.034188576433497056 %
every , 0.03410046154578185 %
see , 0.033924231770351455 %
love , 0.033836116882636255 %
Pradesh , 0.03357177221949066 %
didnt , 0.03357177221949066 %
India, , 0.03348365733177546 %
meeting , 0.03330742755634506 %
decision , 0.03313119778091467 %
found , 0.033043082893199474 %
10 , 0.032866853117769074 %
How , 0.032778738230053873 %
asked , 0.03260250845462348 %
media , 0.03251439356690827 %
If , 0.03242627867919308 %
Sharma , 0.03233816379147788 %
various , 0.03233816379147788 %
used , 0.032250048903762686 %
film.
 , 0.032161934016047486 %
. , 0.031985704240617086 %
"The , 0.031897589352901885 %
complaint , 0.03180947446518669 %
here , 0.031721359577471485 %
Because , 0.03154512980204109 %
say , 0.0313689000266107 %
held , 0.0313689000266107 %
last , 0.0312807851388955 %
persons , 0.031192670251180298 %
working , 0.0311045553634651 %
media.
 , 0.0311045553634651 %
National , 0.0311045553634651 %
US , 0.0311045553634651 %
long , 0.031016440475749904 %
