Word , Frequency
रिश्ते , 85
तालमेल , 25
बिगड़ने , 13
आशंका , 75
जापान , 80
प्रधानमंत्री , 1053
शिंजो , 6
एबे , 3
तीन , 1022
यात्रा , 278
धुम्रपान , 1
तंबाकू , 11
सेवन , 110
कैंसर , 108
होने , 1814
पराक्रम , 6
बढे़गा। , 3
मामला , 802
गांधीनगर , 21
अदालत , 296
चल , 672
रहा , 2988
चांदखेड़ा , 1
इलाका , 18
जिले , 349
आता , 221
चीन , 446
प्राचीन , 32
सभ्यताएं , 1
खबर , 343
पाकर , 56
भारी , 359
बल , 206
पहुंचा। , 17
मे , 196
तुम्हे , 10
अच्छी , 591
तरह , 1794
जानता , 137
हूँ। , 176
इसका , 1012
जवाब , 546
इंटरनेट , 134
आसानी , 103
मिल , 440
तुम , 235
देवधर्म , 1
जानते , 319
अफ़सोस , 4
मालवीय , 7
पंडित , 27
मदन , 20
मोहन , 52
असाधारण , 22
विद्वान , 11
सेनानी , 6
याद , 180
जाता , 1036
जिन्होंने , 149
बीच , 1071
राष्ट्रीय , 487
चेतना , 5
ज्योति , 11
प्रज्जवलित , 2
की। , 779
मांगी , 65
मदद , 708
नमक , 128
करें , 778
वांछित , 18
थाइम , 1
जोड़ें। , 55
ऑस्ट्रेलियाई , 37
कोच , 96
जस्टिन , 8
लैंगर , 2
झटके , 23
सबक , 20
सीखा , 13
भारतीय , 1425
टीम , 1161
कभी , 595
कमतर , 4
आंकना , 1
पश्चिम , 293
बीजेपी , 609
अभूतपूर्व , 19
किंतु , 38
दर्शकों , 92
फिल्म , 2277
नकार , 15
दिया। , 849
अंतरिक्ष , 55
अनुसंधान , 83
संगठनइसरो , 1
अध्यक्ष , 822
सिवान , 2
प्रक्षेपण , 10
तुरंत , 199
जीसैट , 3
क्षेत्र , 796
सबसे , 1441
मूल्यवान , 13
साबित , 135
जीबीपीएस , 2
डाटा , 60
लिंक , 90
सेवा , 256
प्रदान , 281
करेगा। , 119
कई , 2021
वीडियो , 665
शूट , 21
कर , 8323
उसको , 73
क्या , 3194
गुरुग्राम , 22
फरीदाबाद , 10
अलर्ट , 77
कड़े , 33
इंतजाम , 60
किए , 988
गए , 1811
बन्द , 18
दूसरे , 543
ऐसी , 435
मांगें , 12
कार्यकर्ताओं , 165
एफआईआर , 117
गई , 2514
संयुक्त , 272
राष्ट्रः , 1
राष्ट्र , 183
परिषद , 127
सुनिश्चित , 229
अनुरोध , 105
अंतरराष्ट्रीय , 184
समुदाय , 121
महत्वपूर्ण , 448
कर्तव्य , 21
कहीं , 170
स्तर , 314
आतंकवाद , 120
चरमपंथ , 4
ताकतों , 14
सुरक्षित , 227
जगहें , 12
पनाहगाह , 4
मुहैया , 89
ना , 198
वर्मा , 64
उच्चतम , 63
न्यायालय , 208
भ्रष्टाचार , 98
आरोप , 676
आदेश , 322
चुनौती , 143
जिसमें , 577
ड्यूटी , 29
हटाने , 80
छुट्टी , 45
भेजा , 238
बाबूराम , 1
भट्टरई , 1
ट्वीट , 417
ओली , 15
बयान , 538
सारी , 216
हदें , 2
पार , 84
क्यों , 583
वो , 980
सब , 1011
चुप , 46
थे , 1138
सारा , 152
भुगतान , 146
एप , 45
जरिए , 229
जाएगा। , 651
स्वादिष्ठ , 2
बनते , 8
बाइबल , 2
ओपन , 44
यूनिवर्सिटी , 113
इंटरनेशनल , 65
निदेशक , 159
पादरी , 4
उपेंद्र , 7
विभाजन , 16
बात , 2214
कहते , 262
जा , 2595
सकता , 1453
साफसफाई , 9
विशेष , 453
ध्यान , 472
रखा , 282
गेंदों , 46
चौकों , 5
छक्कों , 6
रन , 275
ठोंके। , 1
आप , 2175
मुझे , 1971
क्षमा , 29
कीजिए , 28
पहले , 2090
विभिन्न , 412
संवैधानिक , 36
संशोधनों , 8
उनके , 1865
पड़ने , 40
प्रभाव , 193
संसद , 152
बहस , 65
करती , 549
हँसवार , 1
बोले , 52
समस्या , 370
सृजन , 17
पाल , 20
सिंह , 1898
संगठन , 211
इसरो , 33
चंद्रयान , 15
मिशन , 47
जरिये , 55
चंद्रमा , 12
निकल , 83
उपचार , 200
चिकित्सालय , 29
दाखिल , 109
उनमें , 207
ज्यादातर , 100
सरल , 72
गन्धक , 1
तेल , 248
सिवा , 10
वर्ल्डकप , 7
फाइनल , 128
बेन , 25
स्टोक्स , 17
परफॉर्मेंस , 15
कमाल , 59
फिल्मी , 19
गानों , 8
बदलाव , 269
आया , 341
उसे , 1196
देखते , 209
आमिर , 108
रुप , 42
कार्यालय , 146
पहुंचे , 168
जहां , 496
एसजीपीसी , 3
मुख्य , 626
वर्षीय , 95
अभिनेता , 294
सिख , 40
धार्मिक , 104
पुस्तकें , 16
ऊनी , 4
शॉल , 4
देकर , 127
सम्मानित , 94
ग्राहक , 85
हमारा , 201
उद्देश्य , 115
वह , 3195
मां , 317
लेकर , 1490
रहती , 270
थीं। , 235
चाइना , 21
डेली , 12
गेंग , 4
शुआंग , 1
